Uma Batalha Após a Outra;2025;7.8/10;When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.
A Empregada;2025;7.0/10;A struggling young woman is relieved by the chance for a fresh start as a maid for a wealthy couple. Soon, she discovers that the family's secrets are far more dangerous than her own.
Pecadores;2025;7.5/10;Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.
Marty Supreme;2025;8.2/10;Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.
Dinheiro Suspeito;2026;6.8/10;A group of Miami cops discovers a stash of millions in cash, leading to distrust as outsiders learn about the huge seizure, making them question who to rely on.
Extermínio: O Templo dos Ossos;2026;7.7/10;As Spike is inducted into Jimmy Crystal's gang on the mainland, Dr. Kelson makes a discovery that could alter the world.
Justiça Artificial;2026;6.2/10;Set in the near future, a detective accused of murdering his wife has 90 minutes to prove his innocence to an advanced AI judge.
De Férias com Você;2026;6.7/10;Poppy wants to explore the world and Alex prefers to stay home with a good book, but somehow they are the very best of friends. They live far apart, but for a decade they have spent one week... Read all
Hamnet: A Vida Antes de Hamlet;2025;8.1/10;After losing their son Hamnet to plague, Agnes and William Shakespeare grapple with grief in 16th-century England. A healer, Agnes must find strength to care for her surviving children while... Read all
Bugonia;2025;7.4/10;Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.
Sonhos de Trem;2025;7.6/10;Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-... Read all
Valor Sentimental;2025;7.8/10;An intimate exploration of family, memories, and the reconciliatory power of art.
Terror em Silent Hill: Regresso para o Inferno;2026;4.2/10;When a man receives a mysterious letter from his lost love, he is drawn to Silent Hill, a once familiar town now consumed by darkness.
Frankenstein;2025;7.5/10;Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all
Vivo ou Morto: Um Mistério Knives Out;2025;7.4/10;Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.
O Agente Secreto;2025;7.6/10;In 1977, a technology expert flees from a mysterious past and returns to his hometown of Recife in search of peace. He soon realizes that the city is far from being the refuge he seeks.
Avatar: Fogo e Cinzas;2025;7.4/10;Jake and Neytiri's family grapples with grief, encountering a new, aggressive Na'vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new mor... Read all
Border 2;2026;7.7/10;Young Indian fighters prepared to protect their homeland from a greater threat during the 1971 Indo-Pak war.
Springsteen: Salve-me do Desconhecido;2025;6.7/10;Bruce Springsteen's journey crafting his 1982 album Nebraska, which emerged as he recorded Born in the USA with the E Street Band. Based on Warren Zanes' book.
O Sobrevivente;2025;6.4/10;"A man joins a game show in which contestants, allowed to flee anywhere in the world, are pursued by ""hunters"" hired to kill them."
Socorro!;2026;7.1/10;An employee and her insufferable boss become stranded on a deserted island, the only survivors of a plane crash. Here, they must overcome past grievances and work together to survive, will t... Read all
F1: O Filme;2025;7.7/10;A Formula One driver comes out of retirement to mentor and team up with a younger driver.
A Hora do Mal;2025;7.4/10;When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.
